author_nidn,author_name,openalex_id,faculty,total_publications,total_citations,h_index,i10_index,avg_citations_per_paper,publications_last_5_years,citations_last_5_years,most_cited_paper,most_cited_paper_citations,first_publication_year,latest_publication_year,open_access_percentage
"","Senna Aria Saputra","A5005041884","Fakultas Lainnya","0","0","0","0","0","0","0","","0","","","0"
"","Rizki Ikhwan Insani","A5005090820","Fakultas Lainnya","0","0","0","0","0","0","0","","0","","","0"
"","Zainab Zahratunnisa","A5005141640","Fakultas Lainnya","0","0","0","0","0","0","0","","0","","","0"
"","Jhon Alder","A5005247073","Fakultas Lainnya","0","0","0","0","0","0","0","","0","","","0"
"","Umi Nariawati Wahyitno","A5005274565","Fakultas Teknik dan Ilmu Komputer","0","0","0","0","0","0","0","","0","","","0"
"","Ikhwan Reiza","A5005313791","Fakultas Teknik dan Ilmu Komputer","0","0","1","0","0","0","0","","0","","","0"
"","Irpan Bangga Nugraha","A5005330044","Fakultas Lainnya","0","0","1","0","0","0","0","","0","","","0"
"","Eli Suhayati","A5005378528","Fakultas Lainnya","0","0","1","0","0","0","0","","0","","","0"
"","Irpan Sarip Hidayat","A5005504033","Fakultas Ekonomi dan Bisnis","0","0","1","0","0","0","0","","0","","","0"
"","A Ragatodi","A5005606293","Fakultas Lainnya","0","0","1","0","0","0","0","","0","","","0"
"","I T Wijaya","A5005668896","Fakultas Lainnya","0","0","0","0","0","0","0","","0","","","0"
"","W Wardana","A5005735005","Fakultas Lainnya","0","0","1","0","0","0","0","","0","","","0"
"","R Muhammad Ramadhan","A5005743150","Fakultas Lainnya","0","0","1","0","0","0","0","","0","","","0"
"","H Amirul","A5005783583","Fakultas Lainnya","0","0","0","0","0","0","0","","0","","","0"
"","Rania Febiananda","A5005823422","Fakultas Lainnya","0","0","1","0","0","0","0","","0","","","0"
"","S R Fenny","A5005838710","Fakultas Lainnya","0","0","0","0","0","0","0","","0","","","0"
"","K Simehate","A5005910252","Fakultas Ekonomi dan Bisnis","0","0","1","0","0","0","0","","0","","","0"
"","Tiza Asterinadewi","A5006301007","Fakultas Lainnya","0","0","1","0","0","0","0","","0","","","0"
"","Raihan Abdan Syakuran","A5006317262","Fakultas Lainnya","0","0","1","1","0","0","0","","0","","","0"
"","Muhammad Fadhlih Sephia Harasta","A5006354205","Fakultas Lainnya","0","0","1","0","0","0","0","","0","","","0"
"","Julia Muthiani","A5006426961","Fakultas Lainnya","0","0","0","0","0","0","0","","0","","","0"
"","Elisabet Nila S. C. P","A5006473023","Fakultas Desain","0","0","1","1","0","0","0","","0","","","0"
"","B S Sir","A5006527575","Fakultas Lainnya","0","0","0","0","0","0","0","","0","","","0"
"","Intan Kurniawati Hamsir","A5006532272","Fakultas Lainnya","0","0","1","0","0","0","0","","0","","","0"
"","Mugia Miftahul Choir","A5006547400","Fakultas Lainnya","0","0","1","0","0","0","0","","0","","","0"
"","Indra Gunawan Rahmatullah","A5006568093","Fakultas Lainnya","0","0","1","0","0","0","0","","0","","","0"
"","R A Tirtana","A5006651959","Fakultas Lainnya","0","0","1","0","0","0","0","","0","","","0"
"","Utami Prihati Ning Tias","A5006680576","Fakultas Lainnya","0","0","1","0","0","0","0","","0","","","0"
"","Aji Teja Hartanto","A5006711920","Fakultas Lainnya","0","0","1","0","0","0","0","","0","","","0"
"","M B R Sumantri","A5006716917","Fakultas Lainnya","0","0","1","0","0","0","0","","0","","","0"
"","Diva Anindita Apriliani","A5006782923","Fakultas Desain","0","0","1","0","0","0","0","","0","","","0"
"","Salma Rahmani","A5006791398","Fakultas Lainnya","0","0","1","0","0","0","0","","0","","","0"
"","D Albar","A5006878003","Fakultas Lainnya","0","0","0","0","0","0","0","","0","","","0"
"","Dinda Syavira Arviandita","A5006883468","Fakultas Lainnya","0","0","0","0","0","0","0","","0","","","0"
"","Novita Dameanti Sirait","A5006950913","Fakultas Lainnya","0","0","1","0","0","0","0","","0","","","0"
"","F R Somantri","A5006970584","Fakultas Teknik dan Ilmu Komputer","0","0","0","0","0","0","0","","0","","","0"
"","Aldy Muhamad Ashari","A5007059365","Fakultas Desain","0","0","1","0","0","0","0","","0","","","0"
"","F Novyawati","A5007110668","Fakultas Lainnya","0","0","1","0","0","0","0","","0","","","0"
"","I Noviandi","A5007131429","Fakultas Lainnya","0","0","0","0","0","0","0","","0","","","0"
"","I Ansori","A5007208418","Fakultas Lainnya","0","0","0","0","0","0","0","","0","","","0"
"","F Ferdiana","A5007314781","Fakultas Lainnya","0","0","1","0","0","0","0","","0","","","0"
"","A F Rifaldy","A5007320615","Fakultas Lainnya","0","0","0","0","0","0","0","","0","","","0"
"","L F Ma’wa","A5007345710","Fakultas Lainnya","0","0","0","0","0","0","0","","0","","","0"
"","A B Emge","A5007454550","Fakultas Lainnya","0","0","1","0","0","0","0","","0","","","0"
"","F Dicky","A5007532936","Fakultas Lainnya","0","0","1","1","0","0","0","","0","","","0"
"","Yohana Easterlynda","A5007664317","Fakultas Lainnya","0","0","0","0","0","0","0","","0","","","0"
"","R Y Supriyadi","A5007673072","Fakultas Lainnya","0","0","0","0","0","0","0","","0","","","0"
"","I. Kusumaningrat","A5007725347","Fakultas Lainnya","0","0","1","1","0","0","0","","0","","","0"
"","Dianto Dwi Rachmadi Setiawan","A5007731062","Fakultas Lainnya","0","0","0","0","0","0","0","","0","","","0"
"","Aulia Zharifah","A5007740042","Fakultas Lainnya","0","0","1","0","0","0","0","","0","","","0"
"","R Widyanda","A5007772658","Fakultas Lainnya","0","0","0","0","0","0","0","","0","","","0"
"","M C Febriansyah","A5007841202","Fakultas Lainnya","0","0","1","0","0","0","0","","0","","","0"
"","Budi Rahadian","A5007913428","Fakultas Teknik dan Ilmu Komputer","0","0","1","0","0","0","0","","0","","","0"
"","Kevin Rizal Lukmanul Hakim","A5007963942","Fakultas Lainnya","0","0","1","0","0","0","0","","0","","","0"
"","Seplita Sumantri","A5008033507","Fakultas Lainnya","0","0","0","0","0","0","0","","0","","","0"
"","N M Gunawan","A5008087697","Fakultas Lainnya","0","0","1","0","0","0","0","","0","","","0"
"","Muhammad Harish Arsyad","A5008263501","Fakultas Lainnya","0","0","0","0","0","0","0","","0","","","0"
"","R Y Supriadi","A5008334410","Fakultas Lainnya","0","0","1","0","0","0","0","","0","","","0"
"","A Renisyifa","A5008384326","Fakultas Lainnya","0","0","1","0","0","0","0","","0","","","0"
"","Inta Budi Seya Nusa","A5008482859","Fakultas Lainnya","0","0","0","0","0","0","0","","0","","","0"
"","M Mulqi","A5008508844","Fakultas Lainnya","0","0","1","1","0","0","0","","0","","","0"
"","Threesa Threesa","A5008554336","Fakultas Lainnya","0","0","1","0","0","0","0","","0","","","0"
"","Dendi Herdiansyah","A5008630119","Fakultas Lainnya","0","0","0","0","0","0","0","","0","","","0"
"","Nafisah Rahmania","A5008673445","Fakultas Lainnya","0","0","0","0","0","0","0","","0","","","0"
"","Sandy Nopen Silalahi","A5008816158","Fakultas Lainnya","0","0","0","0","0","0","0","","0","","","0"
"","Savira Alvina Syakur","A5008837455","Fakultas Lainnya","0","0","1","0","0","0","0","","0","","","0"
"","Muhammad Ferry Fadhilah","A5008862111","Fakultas Lainnya","0","0","0","0","0","0","0","","0","","","0"
"","U D Widianty","A5008924228","Fakultas Lainnya","0","0","1","0","0","0","0","","0","","","0"
"","Devy Normalasari","A5008959933","Fakultas Desain","0","0","1","0","0","0","0","","0","","","0"
"","Najmi Hanifah Kamil","A5008991769","Fakultas Lainnya","0","0","0","0","0","0","0","","0","","","0"
"","D Rusmana","A5009378123","Fakultas Lainnya","0","0","1","1","0","0","0","","0","","","0"
"","W Wartika","A5009681602","Fakultas Lainnya","0","0","1","0","0","0","0","","0","","","0"
"","Salma Azzahra Khairunnisa","A5009778681","Fakultas Lainnya","0","0","0","0","0","0","0","","0","","","0"
"","Zidan Supriadi","A5009805665","Fakultas Desain","0","0","1","0","0","0","0","","0","","","0"
"","M Rushamidiwinata","A5009866991","Fakultas Lainnya","0","0","1","0","0","0","0","","0","","","0"
"","Iksan Indirwan","A5009980393","Fakultas Lainnya","0","0","1","0","0","0","0","","0","","","0"
"","Raeny Dwisanti","A5010025928","Fakultas Lainnya","0","0","1","0","0","0","0","","0","","","0"
"","B Z Syaifudin","A5010034050","Fakultas Lainnya","0","0","0","0","0","0","0","","0","","","0"
"","Gevio Kautsar","A5010129424","Fakultas Lainnya","0","0","0","0","0","0","0","","0","","","0"
"","I Gunanda","A5010167343","Fakultas Lainnya","0","0","1","0","0","0","0","","0","","","0"
"","Bagus Fajar Prasetiyo","A5010171973","Fakultas Lainnya","0","0","1","0","0","0","0","","0","","","0"
"","D Riananingrum","A5010204347","Fakultas Lainnya","0","0","0","0","0","0","0","","0","","","0"
"","Nadia Seba","A5010263551","Fakultas Desain","0","0","1","0","0","0","0","","0","","","0"
"","Afifa Magfhira Suherlan","A5010314420","Fakultas Ekonomi dan Bisnis","0","0","1","0","0","0","0","","0","","","0"
"","Ivana Fiona Matulessy","A5010347922","Fakultas Lainnya","0","0","1","0","0","0","0","","0","","","0"
"","Betti Noviyani","A5010383438","Fakultas Lainnya","0","0","1","0","0","0","0","","0","","","0"
"","G A Paizal","A5010453998","Fakultas Lainnya","0","0","1","0","0","0","0","","0","","","0"
"","A Widayanti","A5010463669","Fakultas Lainnya","0","0","1","0","0","0","0","","0","","","0"
"","I D Sumitra","A5010524116","Fakultas Teknik dan Ilmu Komputer","0","0","1","0","0","0","0","","0","","","0"
"","Meisya Nurul Maulina","A5010696317","Fakultas Lainnya","0","0","0","0","0","0","0","","0","","","0"
"","Syam Sofyan","A5010704919","Fakultas Lainnya","0","0","1","0","0","0","0","","0","","","0"
"","O Salsabila","A5010900878","Fakultas Lainnya","0","0","1","0","0","0","0","","0","","","0"
"","Eca Chairunnisa","A5011070368","Fakultas Lainnya","0","0","1","0","0","0","0","","0","","","0"
"","Amar Fadilah","A5011094844","Fakultas Lainnya","0","0","1","0","0","0","0","","0","","","0"
"","M Indrianingsih","A5011171681","Fakultas Lainnya","0","0","1","0","0","0","0","","0","","","0"
"","Maria Novtalia Uli Nadeak","A5011175376","Fakultas Lainnya","0","0","1","0","0","0","0","","0","","","0"
"","M Fauji","A5011202034","Fakultas Lainnya","0","0","1","0","0","0","0","","0","","","0"
"","Yurry Yesaya","A5011259973","Fakultas Lainnya","0","0","0","0","0","0","0","","0","","","0"
"","Fazri Miftahuddin","A5011296047","Fakultas Lainnya","0","0","0","0","0","0","0","","0","","","0"
"","Rizda Suciyanti Restiana Dewi","A5011308326","Fakultas Desain","0","0","0","0","0","0","0","","0","","","0"
"","Aang Sanjaya","A5011328271","Fakultas Lainnya","0","0","1","0","0","0","0","","0","","","0"
"","Panji Pirmansyah","A5011342874","Fakultas Lainnya","0","0","0","0","0","0","0","","0","","","0"
"","Romano Besin Berek","A5011384950","Fakultas Lainnya","0","0","1","0","0","0","0","","0","","","0"
"","Sherent L Febiola","A5011475895","Fakultas Lainnya","0","0","0","0","0","0","0","","0","","","0"
"","N R Fauziyya","A5011713937","Fakultas Lainnya","0","0","1","0","0","0","0","","0","","","0"
"","T Rahajoeningroem","A5011764855","Fakultas Lainnya","0","0","1","0","0","0","0","","0","","","0"
"","Akmal El-adly","A5011812241","Fakultas Desain","0","0","0","0","0","0","0","","0","","","0"
"","Reza Alpadizami","A5012138968","Fakultas Lainnya","0","0","0","0","0","0","0","","0","","","0"
"","Y O Prihatini","A5012164289","Fakultas Lainnya","0","0","1","0","0","0","0","","0","","","0"
"","M Munayah","A5012353903","Fakultas Lainnya","0","0","0","0","0","0","0","","0","","","0"
"","Frangky Christoffel Parengkuan","A5012431324","Fakultas Lainnya","0","0","0","0","0","0","0","","0","","","0"
"","J Delvi","A5012455452","Fakultas Lainnya","0","0","1","1","0","0","0","","0","","","0"
"","M A Riyanto","A5012461163","Fakultas Lainnya","0","0","0","0","0","0","0","","0","","","0"
"","M. Givaldi Widiansyah","A5012498185","Fakultas Lainnya","0","0","1","0","0","0","0","","0","","","0"
"","Azman Nurfahman","A5012528638","Fakultas Lainnya","0","0","1","0","0","0","0","","0","","","0"
"","Gilang Nandapratama","A5012551195","Fakultas Lainnya","0","0","0","0","0","0","0","","0","","","0"
"","R Sidik","A5012700438","Fakultas Lainnya","0","0","1","0","0","0","0","","0","","","0"
"","Egi Cahyo Prabowo","A5012941807","Fakultas Lainnya","0","0","1","1","0","0","0","","0","","","0"
"","Adzan Abdul Zabar","A5012964233","Fakultas Lainnya","0","0","1","1","0","0","0","","0","","","0"
"","Ananda Rizky Maulana","A5013119937","Fakultas Lainnya","0","0","1","0","0","0","0","","0","","","0"
"","Srifana Suharlin","A5013209883","Fakultas Lainnya","0","0","1","0","0","0","0","","0","","","0"
"","Umi Narimawati Supriyadi","A5013273894","Fakultas Lainnya","0","0","1","0","0","0","0","","0","","","0"
"","Seliwati Seliwati","A5013570471","Fakultas Lainnya","0","0","1","0","0","0","0","","0","","","0"
"","Raman Dika","A5013688130","Fakultas Lainnya","0","0","1","0","0","0","0","","0","","","0"
"","B K Mbau","A5013760277","Fakultas Lainnya","0","0","1","0","0","0","0","","0","","","0"
"","I B Nurwahan","A5013831228","Fakultas Lainnya","0","0","1","0","0","0","0","","0","","","0"
"","Arighi Rizki","A5013856220","Fakultas Lainnya","0","0","0","0","0","0","0","","0","","","0"
"","G H Hutomo","A5013953295","Fakultas Lainnya","0","0","0","0","0","0","0","","0","","","0"
"","S R Abdillah","A5014008919","Fakultas Lainnya","0","0","1","0","0","0","0","","0","","","0"
"","R Fenny Syafariany","A5014127148","Fakultas Lainnya","0","0","0","0","0","0","0","","0","","","0"
"","Andrean Pradipta H","A5014220753","Fakultas Lainnya","0","0","1","0","0","0","0","","0","","","0"
"","Caesar Rai Finaldy","A5014234692","Fakultas Lainnya","0","0","1","0","0","0","0","","0","","","0"
"","Meliyana Dwi Cahya","A5014251973","Fakultas Lainnya","0","0","0","0","0","0","0","","0","","","0"
"","Faris Hazazi Riansyah","A5014261666","Fakultas Desain","0","0","0","0","0","0","0","","0","","","0"
"","Nadya Nur Faiza","A5014383878","Fakultas Desain","0","0","1","0","0","0","0","","0","","","0"
"","Sufa'atin Sufa'atin","A5014599495","Fakultas Lainnya","0","0","1","0","0","0","0","","0","","","0"
"","Jasmine Inaya Adzania","A5014638043","Fakultas Desain","0","0","1","0","0","0","0","","0","","","0"
"","A Suripto","A5014671804","Fakultas Lainnya","0","0","1","0","0","0","0","","0","","","0"
"","Umi Narimawati Nani Nani","A5014740054","Fakultas Ekonomi dan Bisnis","0","0","1","0","0","0","0","","0","","","0"
"","S I Fauzi","A5014763757","Fakultas Lainnya","0","0","1","0","0","0","0","","0","","","0"
"","FAIZA SINTIA MUTMAINNA","A5014770419","Fakultas Lainnya","0","0","0","0","0","0","0","","0","","","0"
"","Pipit Afiatun","A5014831352","Fakultas Desain","0","0","1","0","0","0","0","","0","","","0"
"","F W Sari","A5015001046","Fakultas Lainnya","0","0","1","0","0","0","0","","0","","","0"
"","Ida Nuridah","A5015010042","Fakultas Lainnya","0","0","1","0","0","0","0","","0","","","0"
"","Tina Rakhmatin Sabariah Usman","A5015080801","Fakultas Lainnya","0","0","1","0","0","0","0","","0","","","0"
"","Lena Agustina","A5015202233","Fakultas Lainnya","0","0","1","0","0","0","0","","0","","","0"
"","Muhammad Yusuf Adiningrat","A5015226671","Fakultas Desain","0","0","0","0","0","0","0","","0","","","0"
"","M Alviano","A5015294633","Fakultas Lainnya","0","0","1","0","0","0","0","","0","","","0"
"","Hendre Setio Nugroho","A5015466356","Fakultas Lainnya","0","0","0","0","0","0","0","","0","","","0"
"","F A Munshi","A5015529291","Fakultas Lainnya","0","0","1","0","0","0","0","","0","","","0"
"","Radisya Eka Putri Hendarsyah","A5015556795","Fakultas Lainnya","0","0","0","0","0","0","0","","0","","","0"
"","F R Fitrah","A5015633469","Fakultas Lainnya","0","0","1","1","0","0","0","","0","","","0"
"","M E Wardana","A5015696083","Fakultas Lainnya","0","0","1","0","0","0","0","","0","","","0"
"","T Rahajoeningroem","A5015790105","Fakultas Lainnya","0","0","0","0","0","0","0","","0","","","0"
"","Alwan Septiandito Saputra","A5015835977","Fakultas Desain","0","0","1","0","0","0","0","","0","","","0"
"","Alya Rihhadatul' Aisy","A5015838483","Fakultas Teknik dan Ilmu Komputer","0","0","0","0","0","0","0","","0","","","0"
"","R Soegoto","A5015950483","Fakultas Lainnya","0","0","0","0","0","0","0","","0","","","0"
"","N Firdiawati","A5016024013","Fakultas Lainnya","0","0","0","0","0","0","0","","0","","","0"
"","Umi Narimawati Jasmani","A5016134698","Fakultas Lainnya","0","0","0","0","0","0","0","","0","","","0"
"","Suryatno Wiganepdo S","A5016203320","Fakultas Lainnya","0","0","1","0","0","0","0","","0","","","0"
"","Fenny Febrianty","A5016477389","Fakultas Lainnya","0","0","0","0","0","0","0","","0","","","0"
"","Imas Lindawati","A5016523319","Fakultas Lainnya","0","0","0","0","0","0","0","","0","","","0"
"","I G Wibiksana","A5016705289","Fakultas Lainnya","0","0","1","0","0","0","0","","0","","","0"
"","L Nurmayanti","A5016738191","Fakultas Lainnya","0","0","1","0","0","0","0","","0","","","0"
"","Hadi Sulaksono","A5016740007","Fakultas Lainnya","0","0","0","0","0","0","0","","0","","","0"
"","Nevi Adjie Fitria","A5016953428","Fakultas Lainnya","0","0","0","0","0","0","0","","0","","","0"
"","K C Mariano","A5016957382","Fakultas Lainnya","0","0","1","0","0","0","0","","0","","","0"
"","Fadel Arthagena Fadilah","A5016970757","Fakultas Desain","0","0","0","0","0","0","0","","0","","","0"
"","Thomas Aquinas Kiki H","A5017023368","Fakultas Lainnya","0","0","1","0","0","0","0","","0","","","0"
"","Ganeshya Natagracia","A5017036464","Fakultas Lainnya","0","0","1","0","0","0","0","","0","","","0"
"","Rismawaty Rismawaty","A5017201881","Fakultas Lainnya","0","0","0","0","0","0","0","","0","","","0"
"","Reza Fahlevi Ahmad","A5017517948","Fakultas Desain","0","0","1","1","0","0","0","","0","","","0"
"","S C Dewi","A5017655342","Fakultas Lainnya","0","0","1","0","0","0","0","","0","","","0"
"","R F Reza","A5017704719","Fakultas Lainnya","0","0","1","0","0","0","0","","0","","","0"
"","Rangga Al Arif","A5017708862","Fakultas Lainnya","0","0","1","0","0","0","0","","0","","","0"
"","J. M. Ramana","A5017726603","Fakultas Lainnya","0","0","1","0","0","0","0","","0","","","0"
"","Aghnia Dewi Mahiranie","A5017828101","Fakultas Lainnya","0","0","1","0","0","0","0","","0","","","0"
"","Bella Silvia Marsellina","A5018106107","Fakultas Lainnya","0","0","0","0","0","0","0","","0","","","0"
"","I Dwiguna","A5018419102","Fakultas Lainnya","0","0","0","0","0","0","0","","0","","","0"
"","Fristi Regiasty","A5018443765","Fakultas Teknik dan Ilmu Komputer","0","0","1","0","0","0","0","","0","","","0"
"","Suci Rahmatillah","A5018504086","Fakultas Lainnya","0","0","0","0","0","0","0","","0","","","0"
"","M A F Rahman","A5018679616","Fakultas Lainnya","0","0","1","0","0","0","0","","0","","","0"
"","F M Adipraja","A5018694806","Fakultas Lainnya","0","0","1","0","0","0","0","","0","","","0"
"","Fenny Febrianty","A5018746037","Fakultas Lainnya","0","0","0","0","0","0","0","","0","","","0"
"","Fakhrunnisa Khanifa","A5018767227","Fakultas Lainnya","0","0","0","0","0","0","0","","0","","","0"
"","Reza Nur Rosiyana","A5018800524","Fakultas Lainnya","0","0","1","1","0","0","0","","0","","","0"
"","I F Sanjaya","A5018854522","Fakultas Lainnya","0","0","1","0","0","0","0","","0","","","0"
"","Nur Malirja Muaf’fah","A5019069689","Fakultas Lainnya","0","0","0","0","0","0","0","","0","","","0"
"","Hanhan Wijaya","A5019240671","Fakultas Lainnya","0","0","1","1","0","0","0","","0","","","0"
"","M Faridh","A5019256081","Fakultas Lainnya","0","0","1","0","0","0","0","","0","","","0"
"","M I Dewantara","A5019295393","Fakultas Lainnya","0","0","1","0","0","0","0","","0","","","0"
"","V Gafarina","A5019422511","Fakultas Lainnya","0","0","0","0","0","0","0","","0","","","0"
"","Annisa Fathihana Rizqita","A5019428557","Fakultas Desain","0","0","1","0","0","0","0","","0","","","0"
"","Muhammad Atthaariq Maulana","A5019721603","Fakultas Lainnya","0","0","0","0","0","0","0","","0","","","0"
"","J Rohmawan","A5019727117","Fakultas Lainnya","0","0","0","0","0","0","0","","0","","","0"
"","P Pangaribuan","A5019727400","Fakultas Lainnya","0","0","1","0","0","0","0","","0","","","0"
"","N H Sofviani","A5019963173","Fakultas Lainnya","0","0","0","0","0","0","0","","0","","","0"
"","Revaldo Situmorang","A5020016062","Fakultas Lainnya","0","0","1","0","0","0","0","","0","","","0"
"","N R Raddlya","A5020243125","Fakultas Lainnya","0","0","1","1","0","0","0","","0","","","0"
"","E W F Haikal","A5020250287","Fakultas Lainnya","0","0","0","0","0","0","0","","0","","","0"
"","D P M Fattah","A5020277411","Fakultas Teknik dan Ilmu Komputer","0","0","1","0","0","0","0","","0","","","0"
"","Dimas Mustaqwa","A5020534942","Fakultas Lainnya","0","0","0","0","0","0","0","","0","","","0"
"","Sendy Gilang Farhamsyah","A5020616366","Fakultas Lainnya","0","0","0","0","0","0","0","","0","","","0"
"","Sufa Atin","A5020900173","Fakultas Teknik dan Ilmu Komputer","0","0","1","0","0","0","0","","0","","","0"
"","Y Wiradinata","A5020979690","Fakultas Lainnya","0","0","0","0","0","0","0","","0","","","0"
"","S Saepullah","A5021131496","Fakultas Lainnya","0","0","1","0","0","0","0","","0","","","0"
"","S.T. Sufa’atin","A5021131778","Fakultas Lainnya","0","0","1","0","0","0","0","","0","","","0"
"","A F Mutaqin","A5021275311","Fakultas Lainnya","0","0","0","0","0","0","0","","0","","","0"
"","Annisa Sari Saputri","A5021305917","Fakultas Lainnya","0","0","1","0","0","0","0","","0","","","0"
"","Ghina Ghifari","A5021474620","Fakultas Lainnya","0","0","0","0","0","0","0","","0","","","0"
"","Ditha Febriannisa","A5021505858","Fakultas Lainnya","0","0","1","0","0","0","0","","0","","","0"
"","Imam Slamet","A5021562390","Fakultas Lainnya","0","0","1","0","0","0","0","","0","","","0"
"","M Aria","A5021892934","Fakultas Teknik dan Ilmu Komputer","0","0","1","0","0","0","0","","0","","","0"
"","Linna Wulantika","A5021916016","Fakultas Desain","0","0","0","0","0","0","0","","0","","","0"
"","Wawa Sanusi","A5021944872","Fakultas Lainnya","0","0","1","0","0","0","0","","0","","","0"
"","Mochamad Gunawan Wiguna","A5021987858","Fakultas Desain","0","0","1","0","0","0","0","","0","","","0"
"","Fuji Wibowo Mukti","A5021997862","Fakultas Lainnya","0","0","0","0","0","0","0","","0","","","0"
"","Muhammad Ilham Budiawan","A5022061779","Fakultas Lainnya","0","0","1","0","0","0","0","","0","","","0"
"","Salsa Viowika Suherman","A5022104563","Fakultas Lainnya","0","0","1","0","0","0","0","","0","","","0"
"","Wisnu Putra Wardana","A5022113512","Fakultas Lainnya","0","0","0","0","0","0","0","","0","","","0"
"","Mochamad Fikri Fadila Akbar","A5022180653","Fakultas Lainnya","0","0","1","0","0","0","0","","0","","","0"
"","Gumiwang Tresnakalingga","A5022222973","Fakultas Lainnya","0","0","1","0","0","0","0","","0","","","0"
"","Sultan Miftahul","A5022362913","Fakultas Lainnya","0","0","1","0","0","0","0","","0","","","0"
"","M Iffan","A5022449951","Fakultas Lainnya","0","0","0","0","0","0","0","","0","","","0"
"","Alika Shafa Naufal Putri Firdaus","A5022505277","Fakultas Lainnya","0","0","1","0","0","0","0","","0","","","0"
"","Muhamad Ramadan","A5022513691","Fakultas Lainnya","0","0","0","0","0","0","0","","0","","","0"
"","Laela Vistawati","A5022522269","Fakultas Lainnya","0","0","0","0","0","0","0","","0","","","0"
"","Muhamad Fahad Alfarisi","A5022632519","Fakultas Lainnya","0","0","0","0","0","0","0","","0","","","0"
"","S Suhendar","A5022639294","Fakultas Lainnya","0","0","1","0","0","0","0","","0","","","0"
"","Y R Dimyati","A5022972918","Fakultas Lainnya","0","0","1","0","0","0","0","","0","","","0"
"","Umi Narimawati Suyatin","A5023066641","Fakultas Lainnya","0","0","1","0","0","0","0","","0","","","0"
"","K A Duanaputri","A5023109127","Fakultas Lainnya","0","0","1","0","0","0","0","","0","","","0"
"","Nadia Ana Sekarini","A5023162244","Fakultas Lainnya","0","0","0","0","0","0","0","","0","","","0"
"","Muhammad Ananta Hafidz","A5023175657","Fakultas Lainnya","0","0","1","0","0","0","0","","0","","","0"
"","Ricky Kurniawan Pane","A5023209386","Fakultas Lainnya","0","0","0","0","0","0","0","","0","","","0"
"","Maulana Nur Rasyid","A5023225999","Fakultas Lainnya","0","0","1","0","0","0","0","","0","","","0"
"","I Setya Nusa","A5023228785","Fakultas Lainnya","0","0","1","0","0","0","0","","0","","","0"
"","Rahmat Welizaro","A5023265956","Fakultas Lainnya","0","0","1","1","0","0","0","","0","","","0"
"","Andre Ryadi Wardana","A5023271411","Fakultas Lainnya","0","0","1","0","0","0","0","","0","","","0"
"","T H Fahreza","A5023305486","Fakultas Lainnya","0","0","1","0","0","0","0","","0","","","0"
"","U T Anggara","A5023345607","Fakultas Lainnya","0","0","1","0","0","0","0","","0","","","0"
"","Muhammad Hadyan Nur Adabi","A5023347185","Fakultas Lainnya","0","0","0","0","0","0","0","","0","","","0"
"","S Lesari","A5023368110","Fakultas Lainnya","0","0","1","0","0","0","0","","0","","","0"
"","M Ikhbal","A5023369856","Fakultas Desain","0","0","1","1","0","0","0","","0","","","0"
"","E M Adigraha","A5023404406","Fakultas Lainnya","0","0","1","0","0","0","0","","0","","","0"
"","K Y Sholihat","A5023436462","Fakultas Lainnya","0","0","1","0","0","0","0","","0","","","0"
"","Dea Ferida","A5023451062","Fakultas Lainnya","0","0","1","0","0","0","0","","0","","","0"
"","Shidqie Alisyafiq","A5023515240","Fakultas Lainnya","0","0","1","1","0","0","0","","0","","","0"
"","D Marthadihantara","A5023545820","Fakultas Lainnya","0","0","0","0","0","0","0","","0","","","0"
"","A Heriyandi","A5023585735","Fakultas Lainnya","0","0","1","0","0","0","0","","0","","","0"
"","A Rezma","A5023600045","Fakultas Lainnya","0","0","1","0","0","0","0","","0","","","0"
"","Suyudi Muriawan Suyudi Muriawan","A5023665786","Fakultas Lainnya","0","0","0","0","0","0","0","","0","","","0"
"","H Hafilda","A5023866817","Fakultas Teknik dan Ilmu Komputer","0","0","0","0","0","0","0","","0","","","0"
"","H O Pakaya","A5023888859","Fakultas Lainnya","0","0","1","0","0","0","0","","0","","","0"
"","Sugih Purnama","A5023905074","Fakultas Lainnya","0","0","0","0","0","0","0","","0","","","0"
"","Andri Sihata Sitanggang","A5023938701","Fakultas Lainnya","0","0","0","0","0","0","0","","0","","","0"
"","Y P Sihaloho","A5024108510","Fakultas Lainnya","0","0","0","0","0","0","0","","0","","","0"
"","I E Wessels","A5024209886","Fakultas Lainnya","0","0","0","0","0","0","0","","0","","","0"
"","Indra Piguna","A5024344185","Fakultas Lainnya","0","0","0","0","0","0","0","","0","","","0"
"","Andina Halidya Artha","A5024439206","Fakultas Lainnya","0","0","0","0","0","0","0","","0","","","0"
"","Ratna Sri Haryati","A5024487928","Fakultas Desain","0","0","1","0","0","0","0","","0","","","0"
"","Indra Sapa’at","A5024534936","Fakultas Lainnya","0","0","1","0","0","0","0","","0","","","0"
"","Lingga Julinafta","A5024740573","Fakultas Desain","0","0","1","0","0","0","0","","0","","","0"
"","Aditya Alive","A5024748009","Fakultas Lainnya","0","0","0","0","0","0","0","","0","","","0"
"","Mochamad Faisal Ramadhianto","A5024872107","Fakultas Lainnya","0","0","0","0","0","0","0","","0","","","0"
"","A P Darusalam","A5024892395","Fakultas Lainnya","0","0","0","0","0","0","0","","0","","","0"
